央视,#genre#
CCTV1,http://39.134.65.162/PLTV/88888888/224/3221225601/index.m3u8
CCTV1,http://39.134.65.78/PLTV/88888888/224/3221225601/index.m3u8?icpid=88888888
CCTV1,http://39.134.65.84/PLTV/88888888/224/3221225601/index.m3u8?icpid=88888888
CCTV1,http://39.134.65.162/PLTV/88888888/224/3221225493/index.m3u8
CCTV1,http://39.134.65.162/PLTV/88888888/224/3221225686/index.m3u8
CCTV1,http://39.134.65.162/PLTV/88888888/224/3221225706/index.m3u8
CCTV1,http://39.134.65.162/PLTV/88888888/224/3221225732/index.m3u8
CCTV1,http://39.134.65.78/PLTV/88888888/224/3221225493/index.m3u8?icpid=88888888
CCTV1,http://39.134.65.78/PLTV/88888888/224/3221225686/index.m3u8?icpid=88888888
CCTV1,http://39.134.65.84/PLTV/88888888/224/3221225493/index.m3u8?icpid=88888888
CCTV1,http://39.134.65.84/PLTV/88888888/224/3221225557/index.m3u8?icpid=88888888
CCTV1,http://39.134.65.84/PLTV/88888888/224/3221225686/index.m3u8?icpid=88888888
CCTV1,http://39.134.65.84/PLTV/88888888/224/3221225732/index.m3u8?icpid=88888888
CCTV2,http://39.134.65.162/PLTV/88888888/224/3221225691/index.m3u8
CCTV2,http://39.134.65.78/PLTV/88888888/224/3221225691/index.m3u8?icpid=88888888
CCTV2,http://39.134.65.162/PLTV/88888888/224/3221225635/index.m3u8
CCTV3,http://39.134.65.162/PLTV/88888888/224/3221225490/index.m3u8
CCTV3,http://39.134.65.162/PLTV/88888888/224/3221225688/index.m3u8
CCTV3,http://39.134.65.162/PLTV/88888888/224/3221225784/index.m3u8
CCTV3,http://39.134.65.78/PLTV/88888888/224/3221225688/index.m3u8?icpid=88888888
CCTV5,http://39.134.65.162/PLTV/88888888/224/3221225606/index.m3u8
CCTV5,http://39.134.65.78/PLTV/88888888/224/3221225606/index.m3u8?icpid=88888888
CCTV5,http://39.134.65.84/PLTV/88888888/224/3221225606/index.m3u8?icpid=88888888
CCTV5,http://39.134.65.162/PLTV/88888888/224/3221225491/index.m3u8
CCTV5,http://39.134.65.162/PLTV/88888888/224/3221225685/index.m3u8
CCTV5,http://39.134.65.78/PLTV/88888888/224/3221225491/index.m3u8?icpid=88888888
CCTV5,http://39.134.65.78/PLTV/88888888/224/3221225685/index.m3u8?icpid=88888888
CCTV5,http://39.134.65.84/PLTV/88888888/224/3221225491/index.m3u8?icpid=88888888
CCTV5,http://39.134.65.84/PLTV/88888888/224/3221225685/index.m3u8?icpid=88888888
CCTV5+,http://39.134.65.162/PLTV/88888888/224/3221225590/index.m3u8
CCTV5+,http://39.134.65.78/PLTV/88888888/224/3221225590/index.m3u8?icpid=88888888
CCTV5+,http://39.134.65.84/PLTV/88888888/224/3221225590/index.m3u8?icpid=88888888
CCTV5+,http://39.134.65.162/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+,http://39.134.65.162/PLTV/88888888/224/3221225690/index.m3u8
CCTV5+,http://39.134.65.78/PLTV/88888888/224/3221225507/index.m3u8?icpid=88888888
CCTV5+,http://39.134.65.78/PLTV/88888888/224/3221225690/index.m3u8?icpid=88888888
CCTV5+,http://39.134.65.84/PLTV/88888888/224/3221225507/index.m3u8?icpid=88888888
CCTV6,http://39.134.65.162/PLTV/88888888/224/3221225488/index.m3u8
CCTV6,http://39.134.65.84/PLTV/88888888/224/3221225488/index.m3u8?icpid=88888888
CCTV6,http://39.134.65.162/PLTV/88888888/224/3221225687/index.m3u8
CCTV6,http://39.134.65.162/PLTV/88888888/224/3221225786/index.m3u8
CCTV6,http://39.134.65.78/PLTV/88888888/224/3221225687/index.m3u8?icpid=88888888
CCTV7,http://39.134.65.162/PLTV/88888888/224/3221225671/index.m3u8
CCTV8,http://39.134.65.162/PLTV/88888888/224/3221225485/index.m3u8
CCTV8,http://39.134.65.162/PLTV/88888888/224/3221225692/index.m3u8
CCTV8,http://39.134.65.162/PLTV/88888888/224/3221225788/index.m3u8
CCTV8,http://39.134.65.78/PLTV/88888888/224/3221225692/index.m3u8?icpid=88888888
CCTV9,http://39.134.65.162/PLTV/88888888/224/3221225676/index.m3u8
CCTV9,http://39.134.65.162/PLTV/88888888/224/3221225519/index.m3u8
CCTV9,http://39.134.65.78/PLTV/88888888/224/3221225519/index.m3u8?icpid=88888888
