央视,#genre#
CCTV1,http://120.221.5.113:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://120.221.5.111:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://live-temp-litchi-hls-yf.jstv.com/live/zhibo-cctv1gq/online.m3u8
CCTV1,http://112.50.243.8/PLTV/88888888/224/3221225922/1.m3u8
CCTV1,http://120.221.5.177:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://120.221.5.50:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://120.221.5.101:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://120.221.5.113:8089/PLTV/88888888/224/3221225919/index.m3u8
CCTV2,http://120.221.5.101:8089/PLTV/88888888/224/3221225751/index.m3u8
CCTV2,http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8
CCTV2,http://120.221.5.113:8089/PLTV/88888888/224/3221225895/index.m3u8
CCTV3,http://120.221.5.113:8089/PLTV/88888888/224/3221225889/index.m3u8
CCTV3,http://ivi.bupt.edu.cn/hls/cctv3.m3u8
CCTV3,http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8
CCTV4,http://120.221.5.101:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV4,http://120.221.5.113:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV4,http://120.221.5.50:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV4,http://120.221.5.113:8089/PLTV/88888888/224/3221225891/index.m3u8
CCTV5,http://120.221.5.113:8089/PLTV/88888888/224/3221225901/index.m3u8
CCTV5+,http://120.221.5.101:8089/PLTV/88888888/224/3221225781/index.m3u8
CCTV6,http://120.221.5.113:8089/PLTV/88888888/224/3221225893/index.m3u8
CCTV6,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV6,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv6_2/index.m3u8
CCTV7,http://120.221.5.113:8089/PLTV/88888888/224/3221225753/index.m3u8
CCTV7,http://120.221.5.50:8089/PLTV/88888888/224/3221225753/index.m3u8
CCTV7,http://ivi.bupt.edu.cn/hls/cctv7.m3u8
CCTV7,http://120.221.5.101:8089/PLTV/88888888/224/3221225753/index.m3u8
CCTV8,http://120.221.5.113:8089/PLTV/88888888/224/3221225897/index.m3u8
CCTV8,https://cctvcnch5ca.v.wscdns.com/live/cctv8_2/index.m3u8
CCTV9,http://120.221.5.113:8089/PLTV/88888888/224/3221225759/index.m3u8
CCTV9,http://120.221.5.50:8089/PLTV/88888888/224/3221225759/index.m3u8
CCTV10,http://120.221.5.113:8089/PLTV/88888888/224/3221225761/index.m3u8
CCTV10,http://120.221.5.50:8089/PLTV/88888888/224/3221225761/index.m3u8
CCTV10,http://120.221.5.101:8089/PLTV/88888888/224/3221225761/index.m3u8
CCTV10,http://120.221.5.113:8089/PLTV/88888888/224/3221225524/index.m3u8
CCTV11,http://120.221.5.113:8089/PLTV/88888888/224/3221225928/index.m3u8
CCTV12,http://120.221.5.101:8089/PLTV/88888888/224/3221225763/index.m3u8
CCTV12,http://120.221.5.113:8089/PLTV/88888888/224/3221225763/index.m3u8
CCTV12,http://120.221.5.113:8089/PLTV/88888888/224/3221225526/index.m3u8
CCTV13,http://120.221.5.113:8089/PLTV/88888888/224/3221225949/index.m3u8
CCTV14,http://120.221.5.50:8089/PLTV/88888888/224/3221225765/index.m3u8
CCTV14,http://120.221.5.113:8089/PLTV/88888888/224/3221225528/index.m3u8
CCTV15,http://120.221.5.113:8089/PLTV/88888888/224/3221225941/index.m3u8
CCTV17,http://120.221.5.113:8089/PLTV/88888888/224/3221226093/index.m3u8
CCTV17,http://120.221.5.50:8089/PLTV/88888888/224/3221226093/index.m3u8
CCTV17,http://120.221.5.111:8089/PLTV/88888888/224/3221226093/index.m3u8
卫视,#genre#
东方卫视,http://120.221.5.177:8089/PLTV/88888888/224/3221225589/index.m3u8
东方卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225925/index.m3u8
深圳卫视,http://120.221.5.177:8089/PLTV/88888888/224/3221226150/index.m3u8
深圳卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221226043/index.m3u8
深圳卫视,http://120.221.5.50:8089/PLTV/88888888/224/3221226043/index.m3u8
广东卫视,http://120.221.5.177:8089/PLTV/88888888/224/3221226213/index.m3u8
广东卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225966/index.m3u8
广东卫视,http://120.221.5.50:8089/PLTV/88888888/224/3221225966/index.m3u8
浙江卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225585/index.m3u8
东南卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225649/index.m3u8
湖北卫视,http://ivi.bupt.edu.cn/hls/hbtv.m3u8
湖北卫视,http://live.cjyun.org/hubeitv/s10008-live-hbws.m3u8
河北卫视,https://cctvtxyh5ca.liveplay.myqcloud.com/wstv/hebei_2/index.m3u8
天津卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226246/1.m3u8
天津卫视,http://112.17.40.140/PLTV/88888888/224/3221226412/index.m3u8
浙江卫视,http://120.221.5.101:8089/PLTV/88888888/224/3221225585/index.m3u8
浙江卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225926/index.m3u8
湖南卫视,http://120.221.5.101:8089/PLTV/88888888/224/3221225767/index.m3u8
湖南卫视,http://120.221.5.101:8089/PLTV/88888888/224/3221225824/index.m3u8
辽宁卫视,http://by4.nty.tv189.cn/tm-liaoninghd-800k.m3u8
辽宁卫视,https://cctvtxyh5ca.liveplay.myqcloud.com/wstv/liaoning_2/index.m3u8
贵州卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221226025/index.m3u8
北京卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225848/index.m3u8
江苏卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225923/index.m3u8
山东卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225921/index.m3u8
浙江卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225926/index.m3u8
江西卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225939/index.m3u8
重庆卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225952/index.m3u8
四川卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225956/index.m3u8
青海卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225958/index.m3u8
东南卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225964/index.m3u8
